question_id,answer,average_correct_rate
25-대수-06-1-지수,2,0.92
25-대수-06-3-수열의 합,14,0.85
25-대수-06-6-삼각함수,5,0.72
25-대수-06-8-삼각함수,1,0.68
25-대수-06-10-로그함수,4,0.55
25-대수-06-12-수열의 귀납적 정의,83,0.48
25-대수-06-14-삼각함수의 활용,3,0.42
25-대수-06-16-로그함수,19,0.38
25-대수-06-18-수열의 합,32,0.30
25-대수-06-22-지수함수,7,0.15
25-대수-07-1-지수,3,0.90
25-대수-07-3-등비수열,27,0.83
25-대수-07-6-삼각함수,4,0.70
25-대수-07-8-로그,2,0.65
25-대수-07-10-삼각함수,5,0.52
25-대수-07-12-등차수열,45,0.46
25-대수-07-14-삼각함수의 활용,1,0.40
25-대수-07-16-로그함수,23,0.35
25-대수-07-18-수열의 합,56,0.28
25-대수-07-20-지수함수,3,0.20
25-대수-07-22-수열의 귀납적 정의,12,0.12
25-대수-09-1-지수,4,0.91
25-대수-09-3-수열의 합,8,0.84
25-대수-09-6-삼각함수,2,0.71
25-대수-09-8-로그,3,0.66
25-대수-09-10-등비수열,5,0.53
25-대수-09-12-지수함수,67,0.47
25-대수-09-14-삼각함수,1,0.41
25-대수-09-16-수열의 귀납적 정의,15,0.36
25-대수-09-18-등차수열,24,0.29
25-대수-09-22-로그함수,9,0.14
25-대수-10-1-지수,1,0.93
25-대수-10-3-등비수열,35,0.86
25-대수-10-6-삼각함수,3,0.73
25-대수-10-8-로그,5,0.67
25-대수-10-10-삼각함수,2,0.54
25-대수-10-12-수열의 합,78,0.49
25-대수-10-14-삼각함수의 활용,4,0.43
25-대수-10-16-로그함수,11,0.37
25-대수-10-18-수열의 합,42,0.31
25-대수-10-20-지수함수,1,0.22
25-대수-10-22-수열의 귀납적 정의,5,0.13
25-대수-11-1-지수,5,0.94
25-대수-11-3-수열의 합,16,0.87
25-대수-11-6-로그,2,0.74
25-대수-11-8-삼각함수,4,0.69
25-대수-11-10-지수함수,3,0.56
25-대수-11-12-등비수열,91,0.50
25-대수-11-14-삼각함수의 활용,1,0.44
25-대수-11-16-수열의 귀납적 정의,28,0.39
25-대수-11-18-삼각함수의 활용,53,0.32
25-대수-11-22-로그함수,4,0.16
